"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 19 13:16:20 IST 2022","Tue Apr 19 13:16:20 IST 2022","2","","Check the Sign In Functions","","Check the Sign In Functions","Function Of ValidUserName And InValidPassword","Function Of ValidUserName And InValidPassword",""
"passed","Tue Apr 19 19:20:23 IST 2022","Tue Apr 19 19:20:54 IST 2022","31327","","Check The Function Of BreakingNews","","Check The Function Of BreakingNews","Open The Breaking News By BreakingNews Tag","Open The Breaking News By BreakingNews Tag",""
"failed","Tue Apr 19 19:51:47 IST 2022","Tue Apr 19 19:52:02 IST 2022","14632","","Check function of the home page","","Check function of the home page","Check the Function of Cover News","Check the Function of Cover News",""
"broken","Sun Mar 27 18:17:15 IST 2022","Sun Mar 27 18:17:24 IST 2022","8944","","AmazonTry","","AmazonTry","Going to new Release","Going to new Release",""
"passed","Tue Apr 19 17:53:59 IST 2022","Tue Apr 19 17:54:35 IST 2022","35638","","Function of the subscription page and SignUp Page","","Function of the subscription page and SignUp Page","subscripe the plan of $49.99","subscripe the plan of $49.99",""
"passed","Mon Mar 28 11:47:43 IST 2022","Mon Mar 28 11:47:46 IST 2022","2746","","AmazonTry","","AmazonTry","Search iphone and sort by customer reviews","Search iphone and sort by customer reviews",""
"passed","Fri Mar 25 23:48:49 IST 2022","Fri Mar 25 23:48:49 IST 2022","116","","Home","","Home","Checkout the product","Checkout the product",""
"passed","Sat Apr 16 08:19:17 IST 2022","Sat Apr 16 08:19:45 IST 2022","27471","","Check the Sign In Functions","","Check the Sign In Functions","Function Of Other Than Valid UserName And Password","Function Of Other Than Valid UserName And Password",""
"passed","Thu Mar 24 07:58:59 IST 2022","Thu Mar 24 07:59:00 IST 2022","529","","Home","","Home","Open Url And Asser the title","Open Url And Asser the title",""
"passed","Fri Mar 25 23:48:47 IST 2022","Fri Mar 25 23:48:47 IST 2022","27","","Home","","Home","Get the UserName and Password from the Section ","Get the UserName and Password from the Section ",""
"passed","Fri Apr 15 21:17:12 IST 2022","Fri Apr 15 21:17:37 IST 2022","25062","","Validate the Some of function","","Validate the Some of function","Check fot the Subscription plan and getScreenShot","Check fot the Subscription plan and getScreenShot",""
"passed","Fri Mar 25 23:48:47 IST 2022","Fri Mar 25 23:48:48 IST 2022","747","","Home","","Home","Pass the username and password in thier fileds and assert them","Pass the username and password in thier fileds and assert them",""
"broken","Tue Apr 19 13:16:20 IST 2022","Tue Apr 19 13:16:22 IST 2022","2010","","Check the Sign In Functions","","Check the Sign In Functions","Email Password","Email Password",""
"failed","Thu Mar 24 11:05:06 IST 2022","Thu Mar 24 11:05:06 IST 2022","23","","Home","","Home","""before each"" hook for Home","""before each"" hook for Home",""
"passed","Fri Mar 25 23:48:51 IST 2022","Fri Mar 25 23:48:51 IST 2022","221","","Home","","Home","Validate THANK YOU FOR YOUR ORDER message ","Validate THANK YOU FOR YOUR ORDER message ",""
"broken","Mon Mar 28 11:49:19 IST 2022","Mon Mar 28 11:50:08 IST 2022","48840","","AmazonTry","","AmazonTry","Enter PinCode And Assert eligible for free delivery","Enter PinCode And Assert eligible for free delivery",""
"passed","Tue Apr 19 20:05:02 IST 2022","Tue Apr 19 20:05:27 IST 2022","24562","","Check the Sign In Functions","","Check the Sign In Functions","Login By LinkedIn","Login By LinkedIn",""
"passed","Fri Mar 25 23:48:48 IST 2022","Fri Mar 25 23:48:49 IST 2022","1536","","Home","","Home","Select the product product which is having highest price","Select the product product which is having highest price",""
